N_estagios,pos_alimentacao,razao_refluxo,corte_pct,pressao,z_propeno,pureza_topo,recuperacao,Q_refervedor,R_sobre_Rmin,T_condensador
200,0.3630807874543592,11.21171727570519,97.0537290404165,21.81428163297102,0.6925243524088757,91.90685272914753,89.19902781732148,26.02147913941085,1.056847896589119,52.67027932219776
130,0.6251208785078488,21.26275133768841,98.81537743243463,21.69687433100492,0.851707335532643,98.87280855851142,97.70153895514157,59.55256494425846,1.569502925893125,52.40922559829562
110,0.5423350691987201,17.78808015472814,98.12394915030697,19.21655132715777,0.8510107449053788,98.4563050921639,96.60921474390599,52.5232514403505,1.500069403936249,46.6484586737858
170,0.6774781633622012,14.73718297857419,98.53200095648913,15.2019916046299,0.7390650081583299,99.24120072330965,97.78434084592276,41.55554721345338,1.29065576234081,36.10037315991593
140,0.3118876580058597,12.58329508226365,97.52400316622654,19.74556673713215,0.7127266799370758,93.45008111764056,91.13626006800908,31.26679466478523,1.217162131085578,47.91890564822387
250,0.4964980707233771,14.31072171744332,99.17021515918144,19.81617372884788,0.8407906339866809,98.68090823518514,97.8620690178675,42.21585860377436,1.152522282304598,48.08666268656475
170,0.6377039332636631,8.723512952245772,98.70780735590409,21.12838968416862,0.7949083234863589,92.48202056138983,91.28697469458429,24.54566214646528,1.00766998436364,51.13112582294156
180,0.654564775006473,11.9355904285796,97.95842991211219,18.90214568395727,0.7528436114518438,96.57057340384965,94.59901746353493,32.14206933354191,1.063834628196039,45.88176203708963
200,0.5468907857563347,16.25888403508812,98.97810033488696,18.95265324855596,0.8975017781975214,99.46408852938544,98.44766534179593,51.60386512742159,1.288133081927837,46.00552718224577
210,0.334383902618289,14.88822690907493,97.51803712603683,19.40445346667804,0.6533384031283669,95.96277398493996,93.58101356180855,33.7588747371384,1.226921241177228,47.10248251049393
220,0.4456630767052993,12.86273530674726,99.01210853811048,21.79861843589135,0.7762022731435485,96.04311669587698,95.0943149463058,33.78834197738025,1.086357839580203,52.63550889932048
160,0.6894249627224169,18.80526073987409,98.86651128141612,18.0521851261463,0.6848555661493214,99.26251765665364,98.13738821723315,45.96435346967711,1.471540638289527,43.76328684164952
180,0.6359288269019685,22.26540927298367,98.41340025708506,21.12445685815811,0.8505736785267479,99.60774909409838,98.02737280304804,62.66082897602934,1.591833084066245,51.12220097080092
190,0.3169348181664944,16.76254817407578,97.32066632040727,20.83340091593005,0.8720489745943342,98.33647441870386,95.70171214027944,48.80280896010059,1.359755458748509,50.45846499420441
